Section,Key,Value
Setup,Expert,main
Setup,Symbol,EURUSD
Setup,Period,H1 (2023.01.01 - 2026.06.17)
Setup,Company,Raw Trading Ltd
Setup,Currency,USD
Setup,Initial Deposit,3 000.00
Setup,Leverage,1:1000
Setup,_title,Strategy Tester Report
Statistics,Initial Deposit,3 000.00
Statistics,Leverage,1:1000
Statistics,History Quality,99% real ticks
Statistics,Bars,21504
Statistics,Ticks,108284733
Statistics,Symbols,13
Statistics,Total Net Profit,48 618.40
Statistics,Balance Drawdown Absolute,539.11
Statistics,Equity Drawdown Absolute,542.57
Statistics,Gross Profit,175 219.82
Statistics,Balance Drawdown Maximal,5 060.66 (11.49%)
Statistics,Equity Drawdown Maximal,8 743.77 (19.57%)
Statistics,Gross Loss,-126 601.42
Statistics,Balance Drawdown Relative,41.24% (4 635.93)
Statistics,Equity Drawdown Relative,40.34% (1 661.58)
Statistics,Profit Factor,1.38
Statistics,Expected Payoff,8.56
Statistics,Margin Level,485.50%
Statistics,Recovery Factor,5.56
Statistics,Sharpe Ratio,1.93
Statistics,Z-Score,-3.16 (99.74%)
Statistics,AHPR,1.0006 (0.06%)
Statistics,LR Correlation,0.88
Statistics,OnTester result,0
Statistics,GHPR,1.0005 (0.05%)
Statistics,LR Standard Error,7 179.08
Statistics,Total Trades,5680
Statistics,Short Trades (won %),2362 (41.91%)
Statistics,Long Trades (won %),3318 (43.76%)
Statistics,Total Deals,11360
Statistics,Profit Trades (% of total),2442 (42.99%)
Statistics,Loss Trades (% of total),3238 (57.01%)
Statistics,Largest profit trade,6 026.21
Statistics,Largest loss trade,-3 572.82
Statistics,Average profit trade,71.75
Statistics,Average loss trade,-38.55
Statistics,Maximum consecutive wins ($),9 (808.83)
Statistics,Maximum consecutive losses ($),16 (-363.52)
Statistics,Maximal consecutive profit (count),6 496.47 (6)
Statistics,Maximal consecutive loss (count),-3 598.65 (2)
Statistics,Average consecutive wins,2
Statistics,Average consecutive losses,2
Statistics,"Correlation (Profits,MFE)",0.82
Statistics,"Correlation (Profits,MAE)",0.36
Statistics,"Correlation (MFE,MAE)",-0.1123
Statistics,Minimal position holding time,0:00:01
Statistics,Maximal position holding time,1147:00:00
Statistics,Average position holding time,6:50:39
